"","X","Account.Number","Customer.ID","Due.Date","Modified.Date","Online.Order.Flag","Order.Date","Sales.Person.ID","Sales.Order.Number","Ship.Date","Freight","Sub.Total","Tax.Amt","Total.Due"
"37",4605,"10-4030-014268",14268,"2007-01-10","2007-01-05",TRUE,"2006-12-29",NA,"SO48709","2007-01-05",25.0109,1000.4375,80.035,1105.4834
"38",4977,"10-4030-014995",14995,"2007-01-10","2007-01-05",TRUE,"2006-12-29",NA,"SO48705","2007-01-05",54.5391,2181.5625,174.525,2410.6266
"39",4983,"10-4030-015004",15004,"2007-01-10","2007-01-05",TRUE,"2006-12-29",NA,"SO48703","2007-01-05",61.0838,2443.35,195.468,2699.9018
"40",5205,"10-4030-015410",15410,"2007-01-10","2007-01-05",TRUE,"2006-12-29",NA,"SO48711","2007-01-05",19.5748,782.99,62.6392,865.204
"41",5706,"10-4030-016429",16429,"2007-01-10","2007-01-05",TRUE,"2006-12-29",NA,"SO48704","2007-01-05",61.0838,2443.35,195.468,2699.9018
"42",5726,"10-4030-016466",16466,"2007-01-10","2007-01-05",TRUE,"2006-12-29",NA,"SO48708","2007-01-05",54.5391,2181.5625,174.525,2410.6266
"43",5983,"10-4030-017115",17115,"2007-01-10","2007-01-05",TRUE,"2006-12-29",NA,"SO48702","2007-01-05",54.5391,2181.5625,174.525,2410.6266
"44",6768,"10-4030-019313",19313,"2007-01-10","2007-01-05",TRUE,"2006-12-29",NA,"SO48707","2007-01-05",19.5748,782.99,62.6392,865.204
"45",6802,"10-4030-019359",19359,"2007-01-10","2007-01-05",TRUE,"2006-12-29",NA,"SO48706","2007-01-05",25.0109,1000.4375,80.035,1105.4834
"46",7955,"10-4030-023104",23104,"2007-01-10","2007-01-05",TRUE,"2006-12-29",NA,"SO48714","2007-01-05",54.5391,2181.5625,174.525,2410.6266
"47",7960,"10-4030-023107",23107,"2007-01-10","2007-01-05",TRUE,"2006-12-29",NA,"SO48715","2007-01-05",54.5391,2181.5625,174.525,2410.6266
"48",9227,"10-4030-027252",27252,"2007-01-10","2007-01-05",TRUE,"2006-12-29",NA,"SO48712","2007-01-05",19.5748,782.99,62.6392,865.204
"49",9228,"10-4030-027253",27253,"2007-01-10","2007-01-05",TRUE,"2006-12-29",NA,"SO48713","2007-01-05",19.5748,782.99,62.6392,865.204
"50",3576,"10-4030-012382",12382,"2007-01-11","2007-01-06",TRUE,"2006-12-30",NA,"SO48718","2007-01-06",51.7855,2071.4196,165.7136,2288.9187
"51",6096,"10-4030-017626",17626,"2007-01-11","2007-01-06",TRUE,"2006-12-30",NA,"SO48716","2007-01-06",54.5391,2181.5625,174.525,2410.6266
"52",7894,"10-4030-022910",22910,"2007-01-11","2007-01-06",TRUE,"2006-12-30",NA,"SO48720","2007-01-06",54.5391,2181.5625,174.525,2410.6266
"53",7902,"10-4030-022930",22930,"2007-01-11","2007-01-06",TRUE,"2006-12-30",NA,"SO48721","2007-01-06",61.0838,2443.35,195.468,2699.9018
"54",7911,"10-4030-022937",22937,"2007-01-11","2007-01-06",TRUE,"2006-12-30",NA,"SO48722","2007-01-06",61.0838,2443.35,195.468,2699.9018
"55",7951,"10-4030-023099",23099,"2007-01-11","2007-01-06",TRUE,"2006-12-30",NA,"SO48719","2007-01-06",61.0838,2443.35,195.468,2699.9018
"56",9744,"10-4030-028736",28736,"2007-01-11","2007-01-06",TRUE,"2006-12-30",NA,"SO48717","2007-01-06",51.7855,2071.4196,165.7136,2288.9187
"57",3943,"10-4030-013111",13111,"2007-01-12","2007-01-07",TRUE,"2006-12-31",NA,"SO48728","2007-01-07",51.7855,2071.4196,165.7136,2288.9187
"58",3955,"10-4030-013128",13128,"2007-01-12","2007-01-07",TRUE,"2006-12-31",NA,"SO48727","2007-01-07",51.2275,2049.0982,163.9279,2264.2536
"59",4951,"10-4030-014944",14944,"2007-01-12","2007-01-07",TRUE,"2006-12-31",NA,"SO48723","2007-01-07",61.0838,2443.35,195.468,2699.9018
"60",6000,"10-4030-017202",17202,"2007-01-12","2007-01-07",TRUE,"2006-12-31",NA,"SO48725","2007-01-07",54.5391,2181.5625,174.525,2410.6266
"61",7283,"10-4030-020722",20722,"2007-01-12","2007-01-07",TRUE,"2006-12-31",NA,"SO48724","2007-01-07",19.5748,782.99,62.6392,865.204
"62",8414,"10-4030-024915",24915,"2007-01-12","2007-01-07",TRUE,"2006-12-31",NA,"SO48726","2007-01-07",25.0109,1000.4375,80.035,1105.4834
"63",8955,"10-4030-026563",26563,"2007-01-12","2007-01-07",TRUE,"2006-12-31",NA,"SO48729","2007-01-07",19.5748,782.99,62.6392,865.204
"64",21,"10-4020-000004",29772,"2007-01-13","2007-01-08",FALSE,"2007-01-01",275,"SO48740","2007-01-08",2425.9392,80857.134,7763.0053,91046.0785
"65",32,"10-4020-000007",29771,"2007-01-13","2007-01-08",FALSE,"2007-01-01",276,"SO48765","2007-01-08",44.2279,1499.1678,141.5294,1684.9251
"66",67,"10-4020-000017",29811,"2007-01-13","2007-01-08",FALSE,"2007-01-01",277,"SO48759","2007-01-08",38.1184,1275.0469,121.979,1435.1443
"67",164,"10-4020-000041",29805,"2007-01-13","2007-01-08",FALSE,"2007-01-01",281,"SO48738","2007-01-08",98.6567,3288.558,315.7016,3702.9163
"68",299,"10-4020-000081",29704,"2007-01-13","2007-01-08",FALSE,"2007-01-01",279,"SO48766","2007-01-08",1102.2367,36874.6869,3527.1574,41504.081
"69",342,"10-4020-000094",29920,"2007-01-13","2007-01-08",FALSE,"2007-01-01",275,"SO48784","2007-01-08",5.3619,197.976,17.1579,220.4958
"70",438,"10-4020-000119",30067,"2007-01-13","2007-01-08",FALSE,"2007-01-01",289,"SO48768","2007-01-08",964.6614,32159.5245,3086.9165,36211.1024
"71",453,"10-4020-000125",30065,"2007-01-13","2007-01-08",FALSE,"2007-01-01",277,"SO48753","2007-01-08",910.5137,30333.7908,2913.6438,34157.9483
"72",498,"10-4020-000139",29795,"2007-01-13","2007-01-08",FALSE,"2007-01-01",290,"SO48763","2007-01-08",137.4055,4802.334,439.6975,5379.437
"73",525,"10-4020-000146",29580,"2007-01-13","2007-01-08",FALSE,"2007-01-01",283,"SO48757","2007-01-08",1915.8027,63864.7068,6130.5686,71911.0781
"74",584,"10-4020-000161",29718,"2007-01-13","2007-01-08",FALSE,"2007-01-01",277,"SO48783","2007-01-08",39.2681,1308.9375,125.658,1473.8636
"75",609,"10-4020-000166",29646,"2007-01-13","2007-01-08",FALSE,"2007-01-01",275,"SO48780","2007-01-08",1410.9705,46261.8667,4515.1056,52187.9428
"76",667,"10-4020-000183",29654,"2007-01-13","2007-01-08",FALSE,"2007-01-01",275,"SO48748","2007-01-08",45.5265,1548.5749,145.6848,1739.7862
"77",672,"10-4020-000184",29937,"2007-01-13","2007-01-08",FALSE,"2007-01-01",275,"SO48745","2007-01-08",266.7871,8874.407,853.7187,9994.9128
"78",716,"10-4020-000200",29890,"2007-01-13","2007-01-08",FALSE,"2007-01-01",283,"SO48732","2007-01-08",12.4411,414.4407,39.8116,466.6934
"79",726,"10-4020-000203",29889,"2007-01-13","2007-01-08",FALSE,"2007-01-01",281,"SO48775","2007-01-08",1185.7304,39579.4797,3794.3371,44559.5472
"80",798,"10-4020-000221",29992,"2007-01-13","2007-01-08",FALSE,"2007-01-01",281,"SO48769","2007-01-08",715.9737,24016.5101,2291.1157,27023.5995
"81",825,"10-4020-000227",29994,"2007-01-13","2007-01-08",FALSE,"2007-01-01",289,"SO48764","2007-01-08",1255.4042,41665.7599,4017.2934,46938.4575
"82",842,"10-4020-000234",29594,"2007-01-13","2007-01-08",FALSE,"2007-01-01",277,"SO48788","2007-01-08",2576.2569,85919.8459,8244.022,96740.1248
"83",875,"10-4020-000242",29999,"2007-01-13","2007-01-08",FALSE,"2007-01-01",279,"SO48792","2007-01-08",14.0938,469.794,45.1002,528.988
"84",881,"10-4020-000245",30000,"2007-01-13","2007-01-08",FALSE,"2007-01-01",289,"SO48744","2007-01-08",575.6229,18986.0765,1841.9934,21403.6928
"85",885,"10-4020-000246",30098,"2007-01-13","2007-01-08",FALSE,"2007-01-01",278,"SO48736","2007-01-08",1.0414,33.7745,3.3324,38.1483
"86",897,"10-4020-000252",30096,"2007-01-13","2007-01-08",FALSE,"2007-01-01",277,"SO48739","2007-01-08",616.9217,20553.594,1974.1496,23144.6653
"87",951,"10-4020-000265",29613,"2007-01-13","2007-01-08",FALSE,"2007-01-01",290,"SO48774","2007-01-08",114.9727,3847.9347,367.9125,4330.8199
"88",961,"10-4020-000269",29610,"2007-01-13","2007-01-08",FALSE,"2007-01-01",277,"SO48781","2007-01-08",12.3177,403.8704,39.4166,455.6047
"89",1013,"10-4020-000286",29778,"2007-01-13","2007-01-08",FALSE,"2007-01-01",282,"SO48772","2007-01-08",126.8444,4228.146,405.902,4760.8924
"90",1033,"10-4020-000290",29689,"2007-01-13","2007-01-08",FALSE,"2007-01-01",283,"SO48741","2007-01-08",1111.9256,37020.0401,3558.1621,41690.1278
"91",1047,"10-4020-000292",29570,"2007-01-13","2007-01-08",FALSE,"2007-01-01",275,"SO48787","2007-01-08",126.8444,4228.146,405.902,4760.8924
"92",1067,"10-4020-000299",29692,"2007-01-13","2007-01-08",FALSE,"2007-01-01",289,"SO48761","2007-01-08",879.7349,29407.0435,2815.1516,33101.93
"93",1132,"10-4020-000315",29549,"2007-01-13","2007-01-08",FALSE,"2007-01-01",279,"SO48760","2007-01-08",649.4552,21705.4863,2078.2567,24433.1982
"94",1162,"10-4020-000325",30018,"2007-01-13","2007-01-08",FALSE,"2007-01-01",284,"SO48742","2007-01-08",1.2347,45.588,3.951,50.7737
"95",1218,"10-4020-000337",30114,"2007-01-13","2007-01-08",FALSE,"2007-01-01",290,"SO48733","2007-01-08",25.6788,878.358,82.1723,986.2091
"96",1241,"10-4020-000344",29606,"2007-01-13","2007-01-08",FALSE,"2007-01-01",283,"SO48782","2007-01-08",14.0938,469.794,45.1002,528.988
"97",1290,"10-4020-000355",29909,"2007-01-13","2007-01-08",FALSE,"2007-01-01",290,"SO48755","2007-01-08",747.8581,24987.5865,2393.1458,28128.5904
"98",1347,"10-4020-000380",29683,"2007-01-13","2007-01-08",FALSE,"2007-01-01",283,"SO48747","2007-01-08",261.8904,8742.9763,838.0493,9842.916
"99",1437,"10-4020-000404",29520,"2007-01-13","2007-01-08",FALSE,"2007-01-01",279,"SO48777","2007-01-08",112.7506,3758.352,360.8018,4231.9044
"100",1451,"10-4020-000414",29658,"2007-01-13","2007-01-08",FALSE,"2007-01-01",277,"SO48776","2007-01-08",702.1389,23264.4941,2246.8444,26213.4774
"101",1493,"10-4020-000425",29879,"2007-01-13","2007-01-08",FALSE,"2007-01-01",289,"SO48779","2007-01-08",78.4907,2631.8687,251.1702,2961.5296
"102",1515,"10-4020-000431",29533,"2007-01-13","2007-01-08",FALSE,"2007-01-01",277,"SO48785","2007-01-08",126.8444,4228.146,405.902,4760.8924
"103",1549,"10-4020-000437",29605,"2007-01-13","2007-01-08",FALSE,"2007-01-01",281,"SO48767","2007-01-08",800.9992,26692.5733,2563.1975,30056.77
"104",1564,"10-4020-000440",29604,"2007-01-13","2007-01-08",FALSE,"2007-01-01",279,"SO48752","2007-01-08",19.4398,647.994,62.2074,729.6412
"105",1574,"10-4020-000442",29734,"2007-01-13","2007-01-08",FALSE,"2007-01-01",289,"SO48754","2007-01-08",731.2178,24351.9855,2339.8971,27423.1004
"106",1648,"10-4020-000475",29744,"2007-01-13","2007-01-08",FALSE,"2007-01-01",276,"SO48758","2007-01-08",1205.4155,40230.98,3857.3296,45293.7251
"107",1677,"10-4020-000480",29761,"2007-01-13","2007-01-08",FALSE,"2007-01-01",278,"SO48762","2007-01-08",84.5629,2818.764,270.6013,3173.9282
"108",1720,"10-4020-000491",29489,"2007-01-13","2007-01-08",FALSE,"2007-01-01",281,"SO48737","2007-01-08",40.8757,1394.0205,130.8023,1565.6985
"109",1738,"10-4020-000494",29500,"2007-01-13","2007-01-08",FALSE,"2007-01-01",279,"SO48793","2007-01-08",6.4521,209.256,20.6466,236.3547
"110",1747,"10-4020-000496",30048,"2007-01-13","2007-01-08",FALSE,"2007-01-01",289,"SO48778","2007-01-08",1640.2118,54444.9062,5248.6778,61333.7958
"111",1785,"10-4020-000506",29497,"2007-01-13","2007-01-08",FALSE,"2007-01-01",280,"SO48746","2007-01-08",2161.4653,71599.4665,6916.6891,80677.6209
"112",1813,"10-4020-000514",29614,"2007-01-13","2007-01-08",FALSE,"2007-01-01",289,"SO48750","2007-01-08",1638.3599,53989.976,5242.7516,60871.0875
"113",1823,"10-4020-000523",29783,"2007-01-13","2007-01-08",FALSE,"2007-01-01",276,"SO48791","2007-01-08",837.0732,28063.2571,2678.6343,31578.9646
"114",1853,"10-4020-000530",30075,"2007-01-13","2007-01-08",FALSE,"2007-01-01",279,"SO48734","2007-01-08",686.1171,22956.3155,2195.5748,25838.0074
"115",1885,"10-4020-000538",29587,"2007-01-13","2007-01-08",FALSE,"2007-01-01",282,"SO48771","2007-01-08",915.8686,30663.3284,2930.7794,34509.9764
"116",2030,"10-4020-000578",29747,"2007-01-13","2007-01-08",FALSE,"2007-01-01",283,"SO48756","2007-01-08",19.4398,647.994,62.2074,729.6412
"117",2087,"10-4020-000594",29647,"2007-01-13","2007-01-08",FALSE,"2007-01-01",277,"SO48770","2007-01-08",1074.2637,35765.7551,3437.644,40277.6628
"118",2111,"10-4020-000603",29849,"2007-01-13","2007-01-08",FALSE,"2007-01-01",279,"SO48794","2007-01-08",14.0938,469.794,45.1002,528.988
"119",2156,"10-4020-000618",29844,"2007-01-13","2007-01-08",FALSE,"2007-01-01",277,"SO48751","2007-01-08",1261.0757,42079.4855,4035.4423,47376.0035
"120",2162,"10-4020-000622",30039,"2007-01-13","2007-01-08",FALSE,"2007-01-01",275,"SO48731","2007-01-08",211.4073,7046.91,676.5034,7934.8207
"121",2212,"10-4020-000641",30104,"2007-01-13","2007-01-08",FALSE,"2007-01-01",282,"SO48790","2007-01-08",56.8799,1899.3625,182.0158,2138.2582
"122",2223,"10-4020-000643",29973,"2007-01-13","2007-01-08",FALSE,"2007-01-01",277,"SO48773","2007-01-08",126.8444,4228.146,405.902,4760.8924
"123",2286,"10-4020-000660",30109,"2007-01-13","2007-01-08",FALSE,"2007-01-01",277,"SO48786","2007-01-08",683.8533,22843.3007,2188.3306,25715.4846
"124",2315,"10-4020-000668",29981,"2007-01-13","2007-01-08",FALSE,"2007-01-01",284,"SO48789","2007-01-08",295.9702,9865.674,947.1047,11108.7489
"125",2328,"10-4020-000670",29827,"2007-01-13","2007-01-08",FALSE,"2007-01-01",275,"SO48735","2007-01-08",2402.1324,80097.995,7686.8236,90186.951
"126",2333,"10-4020-000673",29826,"2007-01-13","2007-01-08",FALSE,"2007-01-01",276,"SO48743","2007-01-08",19.3562,627.768,61.9398,709.064
"127",2359,"10-4020-000676",29825,"2007-01-13","2007-01-08",FALSE,"2007-01-01",279,"SO48730","2007-01-08",1077.6739,35984.4499,3448.5566,40510.6804
"128",2445,"10-4020-000698",29636,"2007-01-13","2007-01-08",FALSE,"2007-01-01",276,"SO48749","2007-01-08",98.6567,3288.558,315.7016,3702.9163
"129",4648,"10-4030-014335",14335,"2007-01-13","2007-01-08",TRUE,"2007-01-01",NA,"SO48797","2007-01-08",25.0109,1000.4375,80.035,1105.4834
"130",5047,"10-4030-015094",15094,"2007-01-13","2007-01-08",TRUE,"2007-01-01",NA,"SO48796","2007-01-08",54.5391,2181.5625,174.525,2410.6266
"131",5252,"10-4030-015491",15491,"2007-01-13","2007-01-08",TRUE,"2007-01-01",NA,"SO48800","2007-01-08",19.5748,782.99,62.6392,865.204
"132",5254,"10-4030-015493",15493,"2007-01-13","2007-01-08",TRUE,"2007-01-01",NA,"SO48801","2007-01-08",19.5748,782.99,62.6392,865.204
"133",5766,"10-4030-016538",16538,"2007-01-13","2007-01-08",TRUE,"2007-01-01",NA,"SO48795","2007-01-08",54.5391,2181.5625,174.525,2410.6266
"134",8012,"10-4030-023332",23332,"2007-01-13","2007-01-08",TRUE,"2007-01-01",NA,"SO48798","2007-01-08",61.0838,2443.35,195.468,2699.9018
"135",8422,"10-4030-024923",24923,"2007-01-13","2007-01-08",TRUE,"2007-01-01",NA,"SO48802","2007-01-08",25.0109,1000.4375,80.035,1105.4834
"136",9052,"10-4030-026708",26708,"2007-01-13","2007-01-08",TRUE,"2007-01-01",NA,"SO48799","2007-01-08",51.7855,2071.4196,165.7136,2288.9187
"137",3499,"10-4030-012276",12276,"2007-01-14","2007-01-09",TRUE,"2007-01-02",NA,"SO48804","2007-01-09",51.7855,2071.4196,165.7136,2288.9187
"138",4208,"10-4030-013630",13630,"2007-01-14","2007-01-09",TRUE,"2007-01-02",NA,"SO48812","2007-01-09",51.7855,2071.4196,165.7136,2288.9187
"139",4209,"10-4030-013631",13631,"2007-01-14","2007-01-09",TRUE,"2007-01-02",NA,"SO48813","2007-01-09",51.2275,2049.0982,163.9279,2264.2536
"140",4221,"10-4030-013647",13647,"2007-01-14","2007-01-09",TRUE,"2007-01-02",NA,"SO48814","2007-01-09",51.2275,2049.0982,163.9279,2264.2536
"141",5266,"10-4030-015517",15517,"2007-01-14","2007-01-09",TRUE,"2007-01-02",NA,"SO48811","2007-01-09",19.5748,782.99,62.6392,865.204
"142",5776,"10-4030-016552",16552,"2007-01-14","2007-01-09",TRUE,"2007-01-02",NA,"SO48808","2007-01-09",61.0838,2443.35,195.468,2699.9018
"143",6772,"10-4030-019318",19318,"2007-01-14","2007-01-09",TRUE,"2007-01-02",NA,"SO48805","2007-01-09",19.5748,782.99,62.6392,865.204
"144",6836,"10-4030-019416",19416,"2007-01-14","2007-01-09",TRUE,"2007-01-02",NA,"SO48803","2007-01-09",25.0109,1000.4375,80.035,1105.4834
"145",7352,"10-4030-020885",20885,"2007-01-14","2007-01-09",TRUE,"2007-01-02",NA,"SO48806","2007-01-09",19.5748,782.99,62.6392,865.204
"146",7355,"10-4030-020892",20892,"2007-01-14","2007-01-09",TRUE,"2007-01-02",NA,"SO48807","2007-01-09",19.5748,782.99,62.6392,865.204
"147",8028,"10-4030-023411",23411,"2007-01-14","2007-01-09",TRUE,"2007-01-02",NA,"SO48809","2007-01-09",61.0838,2443.35,195.468,2699.9018
"148",8035,"10-4030-023415",23415,"2007-01-14","2007-01-09",TRUE,"2007-01-02",NA,"SO48810","2007-01-09",61.0838,2443.35,195.468,2699.9018
"149",3606,"10-4030-012459",12459,"2007-01-15","2007-01-10",TRUE,"2007-01-03",NA,"SO48816","2007-01-10",51.7855,2071.4196,165.7136,2288.9187
"150",4203,"10-4030-013622",13622,"2007-01-15","2007-01-10",TRUE,"2007-01-03",NA,"SO48819","2007-01-10",51.7855,2071.4196,165.7136,2288.9187
"151",4402,"10-4030-013958",13958,"2007-01-15","2007-01-10",TRUE,"2007-01-03",NA,"SO48820","2007-01-10",51.2275,2049.0982,163.9279,2264.2536
"152",5256,"10-4030-015497",15497,"2007-01-15","2007-01-10",TRUE,"2007-01-03",NA,"SO48818","2007-01-10",19.5748,782.99,62.6392,865.204
"153",6121,"10-4030-017700",17700,"2007-01-15","2007-01-10",TRUE,"2007-01-03",NA,"SO48815","2007-01-10",54.5391,2181.5625,174.525,2410.6266
"154",8014,"10-4030-023344",23344,"2007-01-15","2007-01-10",TRUE,"2007-01-03",NA,"SO48821","2007-01-10",54.5391,2181.5625,174.525,2410.6266
"155",8739,"10-4030-026049",26049,"2007-01-15","2007-01-10",TRUE,"2007-01-03",NA,"SO48817","2007-01-10",54.5391,2181.5625,174.525,2410.6266
"156",5891,"10-4030-016821",16821,"2007-01-16","2007-01-11",TRUE,"2007-01-04",NA,"SO48823","2007-01-11",61.0838,2443.35,195.468,2699.9018
"157",6145,"10-4030-017743",17743,"2007-01-16","2007-01-11",TRUE,"2007-01-04",NA,"SO48822","2007-01-11",54.5391,2181.5625,174.525,2410.6266
"158",7968,"10-4030-023120",23120,"2007-01-16","2007-01-11",TRUE,"2007-01-04",NA,"SO48828","2007-01-11",61.0838,2443.35,195.468,2699.9018
"159",7969,"10-4030-023121",23121,"2007-01-16","2007-01-11",TRUE,"2007-01-04",NA,"SO48829","2007-01-11",61.0838,2443.35,195.468,2699.9018
"160",8025,"10-4030-023408",23408,"2007-01-16","2007-01-11",TRUE,"2007-01-04",NA,"SO48824","2007-01-11",61.0838,2443.35,195.468,2699.9018
"161",8034,"10-4030-023414",23414,"2007-01-16","2007-01-11",TRUE,"2007-01-04",NA,"SO48825","2007-01-11",54.5391,2181.5625,174.525,2410.6266
"162",8040,"10-4030-023421",23421,"2007-01-16","2007-01-11",TRUE,"2007-01-04",NA,"SO48826","2007-01-11",61.0838,2443.35,195.468,2699.9018
"163",9063,"10-4030-026729",26729,"2007-01-16","2007-01-11",TRUE,"2007-01-04",NA,"SO48827","2007-01-11",51.2275,2049.0982,163.9279,2264.2536
"164",4403,"10-4030-013959",13959,"2007-01-17","2007-01-12",TRUE,"2007-01-05",NA,"SO48836","2007-01-12",51.2275,2049.0982,163.9279,2264.2536
"165",6148,"10-4030-017750",17750,"2007-01-17","2007-01-12",TRUE,"2007-01-05",NA,"SO48830","2007-01-12",54.5391,2181.5625,174.525,2410.6266
"166",7353,"10-4030-020886",20886,"2007-01-17","2007-01-12",TRUE,"2007-01-05",NA,"SO48831","2007-01-12",19.5748,782.99,62.6392,865.204
"167",7453,"10-4030-021148",21148,"2007-01-17","2007-01-12",TRUE,"2007-01-05",NA,"SO48835","2007-01-12",51.2275,2049.0982,163.9279,2264.2536
